,time,open,close,high,low,volume
1151,10 09:44,0.74423,0.74432,0.74432,0.74421,0.05
1152,10 09:45,0.74436,0.74423,0.74436,0.74421,0.11
1153,10 09:46,0.74424,0.7443,0.7443,0.74424,0.05
1154,10 09:47,0.74424,0.7442,0.74424,0.74418,0.06
1155,10 09:48,0.74424,0.74419,0.74424,0.74419,0.02
1156,10 09:49,0.74419,0.74418,0.74422,0.74418,0.04
1157,10 09:50,0.74424,0.74422,0.74424,0.74422,0.03
1158,10 09:51,0.7442,0.74404,0.7442,0.74402,0.05
1159,10 09:52,0.74398,0.7441,0.7441,0.74398,0.08
1160,10 09:53,0.74404,0.74386,0.74404,0.74382,0.07
1161,10 09:54,0.74386,0.74384,0.74388,0.7438,0.06
1162,10 09:55,0.7439,0.74379,0.7439,0.74379,0.05
1163,10 09:56,0.74384,0.74402,0.74402,0.74384,0.05
1164,10 09:57,0.744,0.74388,0.744,0.74382,0.08
1165,10 09:58,0.74388,0.7439,0.7439,0.74382,0.07
1166,10 09:59,0.74398,0.7439,0.74398,0.7439,0.04
1167,10 10:00,0.74395,0.74381,0.74395,0.74381,0.05
1168,10 10:02,0.74376,0.74382,0.74382,0.74371,0.07
1169,10 10:03,0.74376,0.7438,0.7438,0.74376,0.04
1170,10 10:04,0.74382,0.74389,0.74394,0.74382,0.07
1171,10 10:06,0.74392,0.7441,0.7441,0.74389,0.06
1172,10 10:07,0.74416,0.74415,0.74416,0.74415,0.02
1173,10 10:08,0.7442,0.74422,0.74422,0.74416,0.03
1174,10 10:09,0.74428,0.74428,0.74428,0.74428,0.03
1175,10 10:10,0.74426,0.74423,0.74428,0.74423,0.04
1176,10 10:11,0.74426,0.7443,0.7443,0.74424,0.07
1177,10 10:12,0.74432,0.74423,0.74436,0.74423,0.06
1178,10 10:13,0.74426,0.74432,0.74438,0.74426,0.05
1179,10 10:14,0.74426,0.74423,0.74428,0.74422,0.07
1180,10 10:15,0.74429,0.74421,0.74429,0.74421,0.06
1181,10 10:17,0.74418,0.74419,0.74422,0.74412,0.11
1182,10 10:18,0.74416,0.74422,0.74422,0.74412,0.07
1183,10 10:19,0.74428,0.74426,0.74428,0.74426,0.03
1184,10 10:20,0.74431,0.7442,0.74431,0.7442,0.06
1185,10 10:21,0.74414,0.74428,0.74428,0.74414,0.05
1186,10 10:22,0.74422,0.74413,0.74422,0.74413,0.06
1187,10 10:23,0.74417,0.74412,0.74417,0.74412,0.08
1188,10 10:24,0.74412,0.74432,0.74432,0.74412,0.07
1189,10 10:25,0.74426,0.74428,0.74428,0.7442,0.04
1190,10 10:27,0.74432,0.74432,0.74432,0.74426,0.05
1191,10 10:30,0.74426,0.74426,0.74426,0.74426,0.01
1192,10 10:31,0.74421,0.74421,0.7443,0.74421,0.09
1193,10 10:32,0.74416,0.74411,0.74416,0.7441,0.03
1194,10 10:33,0.74413,0.74422,0.74422,0.74413,0.06
1195,10 10:34,0.74418,0.74422,0.74422,0.74412,0.05
1196,10 10:35,0.74422,0.74414,0.74422,0.7441,0.13
1197,10 10:36,0.74414,0.74412,0.74418,0.74412,0.04
1198,10 10:37,0.74414,0.74408,0.74414,0.74408,0.02
1199,10 10:38,0.74403,0.74412,0.74412,0.74403,0.04
1200,10 10:39,0.74407,0.744,0.74411,0.744,0.04
1201,10 10:40,0.74404,0.74416,0.74424,0.74404,0.14
1202,10 10:41,0.74412,0.74404,0.74412,0.74398,0.07
1203,10 10:42,0.74402,0.74405,0.74405,0.74394,0.15
1204,10 10:43,0.74405,0.74402,0.74405,0.74402,0.06
1205,10 10:44,0.74398,0.74406,0.7441,0.74398,0.07
1206,10 10:45,0.74402,0.74402,0.74408,0.74402,0.05
1207,10 10:46,0.74398,0.74398,0.74398,0.74398,0.01
1208,10 10:47,0.74393,0.74389,0.74393,0.74388,0.03
1209,10 10:48,0.74384,0.74378,0.74384,0.74377,0.1
